trial,fault_type,severity,fault_onset,simplex_success,nosimplex_success,intervention_step,recovery_time,simplex_rmse,nosimplex_rmse,simplex_effort,nosimplex_effort
222,adversarial,1.0,36,False,False,36,-1,186.31465580674518,186.40769644053316,1521000.0,1286623.7170813782
223,adversarial,0.3,19,False,False,-1,-1,185.6294724513762,185.7215800953168,481650.0,706086.3446803495
224,adversarial,0.3,14,False,False,-1,-1,185.7764692070892,185.84220865191554,354900.0,503975.1535566733
225,stuck,1.0,17,False,False,17,-1,188.38919274903657,188.77845102236947,1521000.0,3879698.1152952644
226,adversarial,0.6,37,False,False,37,3,186.5929879597392,186.69631678855285,1470300.0,1348044.5774608331
227,noise,1.0,23,False,False,23,22,186.5699438010627,186.74534659553913,1482436.8611707094,2466591.680469078
228,noise,1.0,16,False,False,16,4,185.59810117779793,185.74456206375515,1411026.1354505308,2141274.257476946
229,stuck,0.6,22,False,False,22,-1,186.62173030781895,186.82096768321838,1521000.0,2560089.3202282256
230,adversarial,1.0,17,False,False,17,-1,185.61837647985638,185.5545471008517,1521000.0,636331.9516150379
231,adversarial,0.3,32,False,False,-1,-1,187.28612030075413,187.39572901091563,811200.0,1127897.8556866657
232,stuck,0.3,34,False,False,34,-1,187.23950257467604,187.36898136353872,1521000.0,1852551.2551086193
233,noise,1.0,15,False,False,15,3,185.6431423285464,185.87491082978002,1357685.2479679517,2428475.1623190097
234,adversarial,1.0,24,False,False,24,-1,186.63848998310107,186.62263059230582,1521000.0,807092.974465284
235,adversarial,0.6,17,False,False,17,3,186.5613666823428,186.50919471533342,1419600.0,604112.3829155315
236,stuck,1.0,14,False,False,14,-1,185.94495373450408,186.38457924270745,1521000.0,4024669.9870756865
237,noise,1.0,26,False,False,26,4,187.33818728677312,187.49163692520628,1453225.4539113836,2132382.5972074424
238,stuck,1.0,20,False,False,20,-1,186.5978583489938,186.9602989736907,1521000.0,3763950.6370626003
239,noise,1.0,36,False,False,36,5,187.40629321796834,187.5627790920419,1481812.4387494859,2126843.034483305
240,noise,0.6,23,False,False,23,-1,186.40967227018044,186.56593509994266,1521000.0,2373587.2153958217
241,adversarial,1.0,38,False,False,38,-1,187.38261355735125,187.47881805023337,1521000.0,1366912.3408947797
242,stuck,0.6,37,False,False,37,-1,186.461310295634,186.6324166111525,1521000.0,2444943.50084185
243,adversarial,1.0,18,False,False,18,-1,187.46487446079308,187.39097273300317,1521000.0,610507.2196340915
244,noise,0.6,18,False,False,18,22,187.0407038897924,187.18716900889012,1479855.0678137464,2295307.441337912
245,adversarial,0.6,30,False,False,31,9,187.675909960624,187.72363521648631,1444950.0,1052515.1608306079
246,adversarial,1.0,24,False,False,24,-1,186.3397183573715,186.32420176213415,1521000.0,811222.2920285576
247,adversarial,0.6,19,False,False,19,1,186.78460262249757,186.7705738490451,1419600.0,731258.1985707424
248,stuck,1.0,20,False,False,20,-1,186.80752742796213,187.1772418246409,1521000.0,3778324.2540355716
249,adversarial,0.3,12,False,False,-1,-1,186.04882438948482,186.10279678197017,278850.0,404831.1782457869
250,stuck,1.0,17,False,False,17,-1,187.21193868238592,187.6069231383212,1521000.0,3897313.192514942
251,noise,0.3,14,False,False,14,-1,186.81964949148116,186.96102155057585,1521000.0,2174706.384548662
252,stuck,0.6,12,False,False,12,-1,186.65380921351073,186.8846363743255,1521000.0,2643443.0475108484
253,noise,0.6,20,False,False,21,29,186.674147594199,186.80968318489633,1490223.8090661815,2129658.867508068
254,adversarial,0.3,23,False,False,-1,-1,186.72813118546685,186.82381505127256,583050.0,822326.0918055482
255,stuck,0.6,36,False,False,36,-1,185.78370337833863,185.93259477897226,1521000.0,2387204.7289486034
256,noise,1.0,38,False,False,38,3,186.12584886448872,186.2556713910306,1387169.9416950324,2141319.9827435287
257,noise,0.6,10,False,False,10,8,187.35187647659865,187.46879568632178,1448030.4135108811,2046856.1934639215
258,adversarial,0.6,25,False,False,25,5,186.37008134407733,186.38961245338697,1444950.0,878995.1914613325
259,stuck,0.6,19,False,False,19,-1,186.98240391614135,187.1899165045101,1521000.0,2582904.4524371494
260,noise,1.0,27,False,False,27,2,187.39011561850748,187.4996787018185,1453175.9331393563,2127433.4019038714
261,noise,0.3,27,False,False,27,13,185.40198808123262,185.5641811683756,1502122.4890600243,2291887.8406272917
262,adversarial,0.6,25,False,False,25,5,187.07433028864102,187.10472574882215,1444950.0,907304.0278972561
263,stuck,0.3,23,False,False,23,-1,186.33627917252977,186.41778035273367,1521000.0,1658514.0842374489
264,stuck,1.0,22,False,False,22,-1,186.60565743157792,186.9256193807939,1521000.0,3672111.391106546
265,stuck,1.0,31,False,False,31,-1,185.44402886627967,185.68076167275586,1521000.0,3328584.4523419277
266,stuck,0.3,15,False,False,15,-1,186.8031988867782,186.8551299894583,1521000.0,1563198.073278688
267,noise,0.3,29,False,False,29,-1,187.3904511441337,187.5533916657709,1521000.0,2250228.923345489
268,stuck,1.0,39,False,False,39,-1,186.84381258245932,187.02843661547462,1521000.0,3008656.7480419176
269,noise,0.3,28,False,False,28,-1,187.09113884232735,187.22298860133483,1521000.0,2128876.9724148447
270,noise,0.6,12,False,False,12,8,186.29779119186423,186.44970636833546,1455706.9549647495,2147747.504263706
271,stuck,0.3,14,False,False,14,-1,186.4496604456545,186.51022437184332,1521000.0,1577152.2704150933
272,stuck,0.6,11,False,False,11,-1,186.1606154217012,186.4015383399393,1521000.0,2657212.603191715
273,adversarial,0.6,20,False,False,21,9,187.99315330087913,187.97407415803752,1419600.0,740780.5870729629
274,stuck,0.6,20,False,False,20,-1,186.9819571186777,187.18651024857192,1521000.0,2578036.6498181224
275,stuck,0.6,18,False,False,18,-1,186.81784093687924,187.01744985022327,1521000.0,2568413.5555072706
276,adversarial,0.6,36,False,False,36,4,186.4695492321704,186.5641063690521,1470300.0,1264301.7304119216
