t,x,y,z,vx,vy,vz,roll,pitch,yaw,p,q,r
98.77000000001362,4835.303219508175,82.3471206175774,16926.805080368296,82.2358541788075,1.3504890383167716,53.71054699494004,-2.4873718081858986,-0.6264265707538005,-0.44602090981152553,0.16030894068122098,1.1471477662623677,-6.094153767027798e-16
98.78000000001363,4836.1255801941,82.36062725502329,16927.341200716946,82.23606859242079,1.3506637445892276,53.61203486518177,-2.480655424697101,-0.6354964969753272,-0.45469505162784674,0.15992302945937914,1.1459451075457407,-6.050498021342698e-16
98.79000000001363,4836.947943020098,82.37413562522708,16927.8763359517,82.23628259981278,1.350837020379946,53.51352347540219,-2.473805273856052,-0.644508929659131,-0.4634941860999282,0.15952361117395655,1.1447033233912252,-6.014118233271781e-16
98.80000000001364,4837.770307972575,82.38764571525368,16928.410486081164,82.23649524772321,1.3510090026600001,53.41501294626897,-2.466818923013153,-0.6534622528113242,-0.4724209356077065,0.1591120870558306,1.143417444517296,-5.999566318043413e-16
98.81000000001364,4838.592675044229,82.40115751036024,16928.94365112827,82.23670716537076,1.3511795106548576,53.316504710386994,-2.4596938072205043,-0.6623549132553925,-0.4814780417709531,0.1586931989445257,1.1420994406911964,-6.057773978956881e-16
98.82000000001365,4839.4150442023565,82.41467098251255,16929.475831111118,82.23691581281814,1.351347215231152,53.21799828480539,-2.452427511580124,-0.6711852296802558,-0.4906681722985864,0.15825523729745575,1.1407369262927238,-6.065049936571065e-16
98.83000000001365,4840.237415447559,82.42818612436031,16930.007026028554,82.23712452030813,1.3515141847755203,53.119491743649256,-2.445017506744685,-0.6799515196796532,-0.4999940441827385,0.15780564231167424,1.1393337591016264,-6.006842275657597e-16
98.84000000001366,4841.059788777964,82.44170292514042,16930.537235877546,82.23733304050931,1.3516800780104148,53.020984899244446,-2.4374612818146275,-0.6886520608909371,-0.5094583821068592,0.15734122439400963,1.1378888921373715,-6.021394190885964e-16
98.85000000001367,4841.882164180426,82.45522138595366,16931.066460637867,82.23754024619237,1.351846081323839,52.92247603197713,-2.4297563997632166,-0.6972849576169408,-0.5190637643892649,0.1568633029308765,1.136383687210221,-6.014118233271781e-16
98.86000000001367,4842.704541638931,82.46874149648178,16931.594700311736,82.23774585053035,1.352011052812101,52.82396738679899,-2.4219003328892024,-0.7058483913082192,-0.5288128897317022,0.156373009355229,1.1348322382637779,-6.006842275657597e-16
98.87000000001368,4843.526921138026,82.48226324527484,16932.12195490454,82.23794990955693,1.352174879305598,52.72545928058273,-2.4138905269096753,-0.7143405334663354,-0.5387084841168462,0.15587094117292033,1.1332374766832505,-6.014118233271781e-16
98.88000000001368,4844.349302669003,82.49578662727501,16932.648224407465,82.23815309768983,1.352338200017045,52.62695029241754,-2.405724471300227,-0.7227594822462539,-0.5487532227099666,0.1553559132809874,1.131593910986936,-5.926806741901579e-16
98.89000000001369,4845.171686223926,82.50931162008091,16933.173508859338,82.23835549229521,1.3524992805897946,52.52844518732766,-2.397399392380832,-0.7311035418233867,-0.5589500646768537,0.15483540582636168,1.1299338503545873,-5.919530784287396e-16
98.90000000001369,4845.994071797162,82.5228382194105,16933.697808271623,82.23855732355459,1.3526599329588394,52.429941228670344,-2.388912610128592,-0.7393708395903031,-0.5693017993315278,0.15431109068640206,1.1282384706174582,-5.904978869059029e-16
98.9100000000137,4846.816459364382,82.5363664022317,16934.22112267255,82.2387567220386,1.3528182821206305,52.33144009265504,-2.3802614779552744,-0.7475595138843678,-0.5798112631719184,0.1537766064319368,1.1265141535259022,-5.948634614744129e-16
98.9200000000137,4847.638848915271,82.54989614739806,16934.743452089857,82.23895508892238,1.3529745166354552,52.23294173088943,-2.371443301417106,-0.7556677184484855,-0.5904813464583053,0.15323329541397096,1.1247681445993725,-5.912254826673212e-16
98.9300000000137,4848.461240429144,82.5634274315738,16935.264796530377,82.23915138726771,1.3531284175740534,52.13444405188075,-2.362455606967864,-0.763693459140154,-0.6013147714969824,0.15267096824713974,1.1229850264852799,-5.912254826673212e-16
98.94000000001371,4849.283633900481,82.57696023646164,16935.785156001646,82.23934713371908,1.3532804887847174,52.035947126974065,-2.35329586600458,-0.7716347567359041,-0.6123142939233108,0.15209364244990303,1.1211717503024465,-5.963186529972496e-16
98.95000000001372,4850.106029305425,82.59049454326686,16936.304530529396,82.23954049445726,1.3534306805207088,51.93745277498637,-2.343961496123202,-0.7794896121093683,-0.6234826543602997,0.15150866034211585,1.1193306267791598,-5.955910572358313e-16
98.96000000001372,4850.928426628624,82.60403034182174,16936.822920117702,82.239732319862,1.3535798554882938,51.838958830420935,-2.3344500614804073,-0.7872559172715086,-0.6348224417183251,0.15091319944294695,1.1174512095519884,-5.934082699515763e-16
